category;brand;name;unit;norms
Прочее;;Трубки теплоизоляционные толщиной 9 мм для ⌀25 SUPER PROTECT ENERGOFLEX;мп;1.1
Прочее;;"Фильтр механической очистки латунный косой, ВР-ВР 1"" FAR";шт;1.0
Прочее;;"Заглушка с наружной резьбой 1"" Stout";шт;1.0
Прочее;;"Угольник равнопроходной с внутренней резьбой никелированный 1"" Stout";шт;1.0
Прочее;;"Угольник равнопроходной с внутренней/наружной резьбой 1"" Stout";шт;1.0
Прочее;;"Регулирующий коллектор 2 - 1"" х 3/4"" FAR";шт;1.0
Прочее;;"Регулирующий коллектор 3 - 1"" х 3/4"" FAR";шт;1.0
Прочее;;"Регулирующий коллектор 4 - 1"" х 3/4"" FAR";шт;1.0
Прочее;Valtec;Угольник напресовочный 25x90° VALTEC;шт;1.0
Прочее;Valtec;"Кран шаровый-бабочка НР-НР 1/2"" VALTEC";шт;1.0
Прочее;;Коллекторный шкаф Rispa;шт;1.0
Прочее;;Трап;шт;1.0
Прочее;;Диммер для освещения встраиваемый 230В IP20-23;шт;1.0
Прочее;;ППГнг(A)-HF 3х1,5мм2;мп;1.02
Прочее;;ППГнг(A)-HF 3х2,5мм2;мп;1.02
Прочее;;ППГнг(A)-HF 5х2,5мм2;мп;1.02
Прочее;;ППГнг(A)-HF 5х4мм2;мп;1.02
Прочее;;ПуГПнг(A)-HF 1х6мм2;мп;1.02
Прочее;;Поворот 90град 50x100;шт;1.0
Прочее;;Крышка лотка перфорированный 50x200х3000;шт;1.0
Прочее;;Поворот 90град 50x200;шт;1.0
Прочее;;Эвакуационный указатель с БАП 4ч.;шт;1.0
Прочее;;Трек магнитный l=5500 м (поставка Заказчика);шт;1.0
Прочее;;Трек магнитный l=6000 м (поставка Заказчика);шт;1.0
Прочее;;Трек магнитный l=6500 м (поставка Заказчика);шт;1.0
Прочее;;Люстра мазанка (поставка Заказчика);шт;1.0
Прочее;;Бра мазанка (поставка Заказчика);шт;1.0
Прочее;;Упаковочные материалы;компл;1.0
Прочее;;Люк напольный;компл;1.0
Прочее;;Изготовление рамки из нерж стали с полировкой;шт;1.0
Прочее;;Внутренний блок канального типа RKD-24BHANI Dantex;шт;1.0
Прочее;;Наружный блок сплит системы RKD-24HANIE-W Dantex;шт;1.0
Прочее;;Шумоглушитель CSA 160/600 CSA 160/600 Арктос;шт;1.0
Прочее;;Переход круглого сечения ø250-ø160;шт;1.0
Прочее;;Переход прямоугольного сечения 400x200-300x200;шт;1.0
Прочее;;Переход прямоугольного сечения 400x300-400x200;шт;1.0
Прочее;;Теплоизоляция, толщина 9 мм Energoflex;м2;1.1
Прочее;;Теплоизоляция, толщина 25 мм Energoflex;м2;1.1
Прочее;;Адаптер РЭД-КСД-И-ЛУК-РУ*-1/2щ ,ОС(RALБ/П),без ШПМ,без РУ,D,БВ(1),Н(200),Н1(11),В1(233);мп;1.0
Прочее;;"Универсальный монтажный комплект 3/4"" Rifar";компл;1.0
Прочее;;Термостат Uni Zehnder;шт;1.0
Прочее;;Тепловая завеса Тепломаш КЭВ-6П2281E 122037;шт;1.0
Прочее;;Счетчик электроэнергии трехфазный, многотариф., 5(60)А, кл.т 1/2, RS485 Меркурий 236 АRT-01 Инкотекс;шт;1.0
Прочее;;Контактор модульный 4п.4НО, Uk=230B, 63A ESB63-40N-06 АВВ;шт;1.0
Прочее;;Контактор модульный 4п.4НО, Uk=24B, 63A ESB63-40N-01 АВВ;шт;1.0
Прочее;;Трансформатор тока модульный 230/24В TS25 АВВ;шт;1.0
Прочее;;Обои (поставка Заказчика);м2;1.15
Прочее;;Рольставни;м2;1.0
Прочее;;Пульт управления рольставней;шт;1.0
Прочее;;Закладная;мп;1.0
Прочее;;Врезка в круг из тонколистовой оцинкованной стали, 200x100 в Ø100 мм δ=0.5 мм;шт;1.0
Прочее;;Врезка в круг из тонколистовой оцинкованной стали, 200x100 в Ø125 мм δ=0.5 мм;шт;1.0
Прочее;;Врезка в круг из тонколистовой оцинкованной стали, 300x100 в Ø160 мм δ=0.5 мм;шт;1.0
Прочее;;Врезка в круг из тонколистовой оцинкованной стали, 300x100 в Ø250 мм δ=0.5 мм;шт;1.0
Прочее;;Заглушка из тонколистовой оцинкованной стали, Ø100 мм δ=0.5 мм;шт;1.0
Прочее;;Заглушка из тонколистовой оцинкованной стали, Ø160 мм δ=0.5 мм;шт;1.0
Прочее;;Заглушка из тонколистовой оцинкованной стали, Ø250 мм δ=0.7 мм;шт;1.0
Прочее;;Переход из тонколистовой оцинкованной стали, Ø125-Ø100 мм δ=0.5 мм РФ;шт;1.0
Прочее;;Переход из тонколистовой оцинкованной стали, Ø315-Ø160 мм δ=0.7 мм РФ;шт;1.0
Прочее;;Переход из тонколистовой оцинкованной стали, Ø315-Ø160 мм δ=0.5 мм РФ;шт;1.0
Прочее;;Кассетный фанкойл 5,7 кВт Shuft SFR-850R V2;шт;1.0
Прочее;;Кассетный фанкойл 2,5 кВт Shuft SFR-300 V2;шт;1.0
Прочее;;NEKK P 38W 4000K Ra90 T80 IP67 1270x40mm GR (поставка Заказчика);шт;1.0
Прочее;;Эвакуационный указатель ВЫХОД поставка заказчика;шт;1.0
Прочее;;Разветвитель Т-образный 100x100;шт;1.0
Прочее;;Рама настенная поставка заказчика;комп;1.0
Прочее;;Комплект крепления v-образный;шт;1.0
Прочее;;Плита гипсостружечная Пешелань 2500х1250х12 мм влагостойкая прямая кромка;м2;1.1
Прочее;;Несущая направляющая C180;мп;0.84
Прочее;;Несущая направляющая C240;мп;0.84
Прочее;;Несущая направляющая C120;мп;1.67
Прочее;;Несущая направляющая C60;мп;0.84
Прочее;;Фасонные части;м2;1.0
Прочее;;Фанкойл канальный + пленумы, 2-х трубный GDU-W-06DR General Climate;шт;1.0
Прочее;;Фанкойл канальный + пленумы, 2-х трубный GDU-W-08DR General Climate;шт;1.0
Прочее;;Теплоизоляция на трубу Ф40, толщина 13 мм. K-Flex;мп;1.05
Прочее;;Теплоизоляция на трубу Ф50, толщина 13 мм. K-Flex;мп;1.05
Прочее;;Шаровой кран Ду15 (слив воды, выпуск воздуха) ВР-НР Bugatti;шт;1.0
Прочее;;Шаровой кран с американкой ДУ25 НР-ВР Bugatti;шт;1.0
Прочее;;Фильтр сетчатый ДУ25 ВР ФММ-25 Itap;шт;1.0
Прочее;;Кран трехходовой для манометра;шт;1.0
Прочее;;Манометр, 0…10 бар 111,1 WIKA;шт;1.0
Прочее;;Термоманометр, 0…10 бар Watts;шт;1.0
Прочее;;Теплоизоляция на трубу Ф32, толщина 6 мм. K-Flex;мп;1.05
Прочее;;Счетчик электрической энергии Меркурий 236 ART 01 PQRS 5(60)A Меркурий 236 ART 01 PQRS incotex;шт;1.0
Прочее;ABB;Реле силовое, напряжение катушки 220В ESB 63-40N-06 1SAE351111R0640 ABB;шт;1.0
Прочее;ABB;Реле силовое, напряжение катушки 220В ESB 25-40N-06 1SAE231111R0640 ABB;шт;1.0
Прочее;ABB;Реле силовое, напряжение катушки 24В ESB 25-40N-01 1SAE231111R0140 ABB;шт;1.0
Прочее;ABB;Трансформатор разделительный безопасности 12-24V TS63/12-24C 2CSM631043R0811 ABB;шт;1.0
Прочее;ABB;Реле времени с резервным питанием 150 часов AT2e-7R 16А 1НО/НЗ 2CSM231245R0601 ABB;шт;1.0
Прочее;IEK;Бокс для пломбировки кнопочного поста IEK;шт;1.0
Прочее;;Пост кнопочный аварийной остановки OptiSignal возврат поворотом IP65 D22 C5-BK-1-ESTR-11 КЭАЗ;шт;1.0
Прочее;;Автономная установка пожаротушения ФОГ ШНУР 100;шт;1.0
Прочее;;Люстра декоративная 100 W (поставка Заказчика);шт;1.0
Прочее;;Ответвитель Т образный 200х50мм 200х50мм ДКС;шт;1.0
Прочее;;Ответвитель Т образный 50х50мм 200х50мм ДКС;шт;1.0
Прочее;;Переходник 200/100 36310KHDZ ДКС;шт;1.0
Прочее;;Угол CPO 90 горизонтальный 100х50мм 36002K ДКС;шт;1.0
Прочее;;Угол CPO 90 горизонтальный 50х50мм 36000K ДКС;шт;1.0
Прочее;;ИБП для установки в IT шкаф 220В 1.5 кВт (мощность уточнить);шт;1.0
Прочее;;Люк ревизионный Эвент ЛП пластиковый 400х400;шт;1.0
Прочее;;Музыкальный ресивер - Вектор ТУ-60М;шт;1.0
Прочее;;Зеркало;м2;1.0
Прочее;;Стол;шт;1.0
Прочее;;Рабочее кресло;шт;1.0
Прочее;;Вешалка;шт;1.0
Прочее;;Тумба;шт;1.0
Прочее;;Стеллаж 1000х400 мм перфорированные полки;шт;1.0
Прочее;;Стеллаж 700х400 мм перфорированные полки;шт;1.0
Прочее;;Джокерная система хранения;шт;1.0
Прочее;;"Подрядчик: ООО ""Сервис Бро""";;
Прочее;;ФИО________________________________/И.C. Мальцев/;;
Прочее;;Камера статического давления 2000х200h;шт;1.0
Прочее;;Теплоизоляция, толщина 9 мм ENERGOFLEX SUPER Energoflex;м2;1.1
Прочее;;Поворот 90град 50х150;шт;1.0
Прочее;;Разветвитель Т-образный 50х150;шт;1.0
Прочее;;Стеклянный кирпич 200х100х50 мм (поставка заказчика);шт;1.0
Прочее;;Вывеска светодиодные буквы;компл;1.0
Прочее;;Фиброволокно армирующее для бетонов и растворов из стекловолокна КМ 1 кг;шт;1.0
Прочее;;Трубка K-FLEX 13x042-2 ST K-Flex ST K-Flex;мп;1.1
Прочее;;Фасонные изделия из оцинкованной стали;м2;1.1
Прочее;;Контактор модульный 4п.4НО, Uk=230B, 40A ESB АВВ;шт;
Прочее;;Трансформатор тока 230/12-24В TS25 АВВ;шт;
Прочее;;ППГнг(А)-HF 3х2,5мм2 ППГнг(А)-HF Конкорд;мп;1.02
Прочее;;ППГнг(А)-HF 3х1,5мм2 ППГнг(А)-HF Конкорд;мп;1.02
Прочее;;ППГнг(А)-FRHF 3х1,5мм2 ППГнг(А)-FRHF Конкорд;мп;1.02
Прочее;;ПуГПнг(А)-HF 1х6мм2 ПуГПнг(А)-HF Конкорд;мп;1.02
Прочее;;Поворот 90град 50x50;шт;1.0
Прочее;;Подрядчик: Индивидуальный предприниматель Назарова Евгения Анатольевна ________________________ / Е.А. Назарова М.П.;;
Прочее;;Гобелен (поставка Заказчика);м2;1.15
Прочее;;Дренажная помпа SI82 Sauerman;шт;1.0
Прочее;;Воздухораспределитель ДПУ-М 125;шт;1.0
Прочее;;Воздухораспределитель ДПУ-М 160;шт;1.0
Прочее;;Металлоконструкции для крепления;кг;1.0
Прочее;Danfoss;Фильтр сетчатый, муфтовый с внутренней резьбой ∅1'' (Ду25) Danfoss;шт;1.0
Прочее;;Шаровый спускной кран ∅1/2'' (Ду15);шт;1.0
Прочее;;Шаровый кран стандартнопроходный ∅1'' (Ду25);шт;1.0
Прочее;Danfoss;"Шаровый кран стандартнопроходный ∅1/2"" (Ду15) Danfoss";шт;1.0
Прочее;;Кран трех ходовой под манометр ∅1/2'';шт;1.0
Прочее;;Термоманометр Росма;шт;1.0
Прочее;;Автономная установка пожаротушения ФОГ 65 Пластина ФОГ65 Русинтех;шт;1.0
Прочее;;Светодиодная подсветка в алюминиевом профиле 14,4 W/м (поставка Заказчика);мп;1.0
Прочее;;Диммер освещения;шт;1.0
Прочее;;Кнопка грибовидная красная с фиксацией, с подсветкой 2НО+2HЗ ВК22-AEAL-RED-NEO DEKraft;шт;1.0
Прочее;;Пост кнопочный 1 место КП101-1-01-Р DEKraft;шт;1.0
Прочее;;"Исполнитель: Генеральный директор ООО ""Сервис Бро"" __________________ И.С. Мальцев";;
Прочее;;Люк ревизионный напольный;компл;1.0
Прочее;;Фасонные элементы;компл;1.0
Прочее;;Воздухораспределители ДПУ-М 100;шт;1.0
Прочее;;Воздухораспределители ДПУ-М 125;шт;1.0
Прочее;;Фанкоил кассетный 2-хтрубный с декор.панелью, узлом обвязки и ПУ LSF-400BP22С Lessar;шт;1.0
Прочее;;Пульт управления;шт;1.0
Прочее;Danfoss;"Фильтр сетчатый, муфтовый с внутренней резьбой Y222 3/4"" Danfoss";шт;1.0
Прочее;;Термометр giacomini;шт;1.0
Прочее;;Манометр, 0…10bar R225IY007 giacomini;шт;1.0
Прочее;Danfoss;"Шаровый кран полнопроходный BVR 3/4"" Danfoss";шт;1.0
Прочее;;Изоляционные цилиндры толщиной 13 мм (класс горючести - Г1) ST 13x030 К-flex;мп;1.1
Прочее;;Изоляционные цилиндры толщиной 9 мм (класс горючести - Г1) ST 09x028 К-flex;мп;1.1
Прочее;;Счетчик активной энергии электронный трехфазный Меркурий 236 ART-01 PQRS 5(60)А ОАО 'ЛЭМЗ';шт;1.0
Прочее;ABB;Магнитный пускатель ABB ESB 25-40N-06 ABB;шт;1.0
Прочее;ABB;Магнитный пускатель ABB ESB 25-20N-06 ABB;шт;1.0
Прочее;ABB;Магнитный пускатель ABB ESB 25-40N-01 ABB;шт;1.0
Прочее;ABB;Трансформатор на DIN-рейку TS25/12-24C ABB;шт;1.0
Прочее;;Блок питания ARV-SN24150A (24V, 6.25A, 100W, PFC (поставка Заказчика);шт;1.0
Прочее;;"Металлический крепеж для лотка ""ПРОМРУКАВ""";компл;1.0
Прочее;;Мелкий крепежный материал;кг;1.0
Прочее;;Оборудование СКУД;шт;1.0
Прочее;;Колонна полиуретановая (поставка Заказчика);шт;1.0
Прочее;;Арматура 14 мм;мп;1.15
Прочее;;Закладные для крепления оборудования (поставка Заказчика);шт;1.0
Прочее;;Врезка круглая ø100-ø100;шт;1.0
Прочее;;Врезка круглая ø125-ø125;шт;1.0
Прочее;;Врезка прямоугольная 300x200-300x200;шт;1.0
Прочее;;Камера статического давления 500х150h;шт;1.0
Прочее;;Переход прямоугольного сечения 300x250-300x200;шт;1.0
Прочее;;Переход прямоугольного сечения 300x300-300x250;шт;1.0
Прочее;;Переход прямоугольного сечения 600x400-400x300;шт;1.0
Прочее;;Внутренний блок канального типа DF-0300UR-T2/L Dantex;шт;1.0
Прочее;;Внутренний блок канального типа DF-0700UR-T2/L Dantex;шт;1.0
Прочее;;Внутренний блок кассетного типа DF-300QAEC-P4 Dantex;шт;1.0
Прочее;;Угольник 90° из ПП, 25 PPR;шт;1.0
Прочее;;Угольник 90° из ПП, 32 PPR;шт;1.0
Прочее;;ППГнг(А)-HF 3х2,5мм2 ППГнг(А)-HF По ГОСТ;мп;1.02
Прочее;;ППГнг(А)-HF 3х1,5мм2 ППГнг(А)-HF По ГОСТ;мп;1.02
Прочее;;ППГнг(А)-FRHF 3х1,5мм2 ППГнг(А)-FRHF По ГОСТ;мп;1.02
Прочее;;UTP LSZH нг(А)-HF cat.5e;мп;1.02
Прочее;;Поворот 90град АО 50х50;шт;1.0
Прочее;;Разветвитель Т-образный АО 50х50;шт;1.0
Прочее;;Поворот 90град 50х50;шт;1.0
Прочее;;Разветвитель Т-образный 50х50;шт;1.0
Прочее;;Разветвитель Т-образный 50х100;шт;1.0
Прочее;;Крестовина 150х50;шт;1.0
Прочее;;Поворот 90град слаботочный 50х50;шт;1.0
Прочее;;Разветвитель Т-образный слаботочный 50х50;шт;1.0
Прочее;;Акустическая колонка (поставка Заказчика);шт;1.0
Прочее;;Lumixon, T6104 (поставка Заказчика);шт;1.0
Прочее;;"Световое табло ""ВЫХОД""";шт;1.0
Прочее;;КАССЕТНЫЙ ФАНКОЙЛ DF-009QAEC;шт;1.0
Прочее;;Колонка CSL-10T Volta;шт;1.0
Прочее;;Комбинированный микшер-усилитель ТУ-6060М Вектор;шт;1.0
Прочее;;Исполнитель:;;
Прочее;;Индивидуальный предприниматель;;
Прочее;;_____________________________________ Е.А. Назарова;;
Прочее;;м.п.;;
Прочее;;Теплоизоляционная PIR-плита 50 мм PIRROGROUP Термо 585x1185 мм;м2;10.1
Прочее;;Теплоизоляционная PIR-плита 30 мм PIRROGROUP Термо 585x1185;м2;1.1
Прочее;;Пеностекольный щебень фр. 10-40мм;м3;1.27
Прочее;;Мешки, Osmo масло, спиртовый раствор;компл;1.0
Прочее;;Цветной пластик поставка заказчика;;
Прочее;;Клавиша смыва Tece;шт;1.0
Прочее;;Манжета 50х25 для подключения сантехнических приборов;шт;1.0
Прочее;Valtec;Угольник напресовочный 32x45° VALTEC;шт;1.0
Прочее;Valtec;Угольник напресовочный 32x90° VALTEC;шт;1.0
Прочее;;Трубки теплоизоляционные толщиной 9 мм для `16;мп;1.05
Прочее;;Термекс Водонагреватель аккумуляционный электрический THERMEX;шт;1.0
Прочее;;Врезка круглая д160-д160;шт;1.0
Прочее;;Врезка прямоугольная 300x100-300x100;шт;1.0
Прочее;;Врезка прямоугольная 450x200-450x200;шт;1.0
Прочее;;Врезка прямоугольная 500x200-500x200;шт;1.0
Прочее;;Врезка прямоугольная 650x200-650x200;шт;1.0
Прочее;;Заглушка прямоугольная 300x200;шт;1.0
Прочее;;Заглушка прямоугольная 350x250;шт;1.0
Прочее;;Заглушка прямоугольная 400x200;шт;1.0
Прочее;;Заглушка прямоугольная 450x200;шт;1.0
Прочее;;Заглушка прямоугольная 500x200;шт;1.0
Прочее;;Заглушка прямоугольная 650x200;шт;1.0
Прочее;;Переход круглого сечения 160-100;шт;1.0
Прочее;;Переход прямоугольного сечения 300x200-300x100;шт;1.0
Прочее;;Переход прямоугольного сечения 350x250-300x200;шт;1.0
Прочее;;Переход прямоугольного сечения 400x250-300x200;шт;1.0
Прочее;;Переход прямоугольного сечения 550x250-400x200;шт;1.0
Прочее;;Переход прямоугольного сечения 650x250-350x250;шт;1.0
Прочее;;Переход прямоугольного сечения 800x250-400x250;шт;1.0
Прочее;;Переход прямоугольного сечения 1100x250-550x250;шт;1.0
Прочее;;Адаптер угловой РЭД-КСД-И-ЛУК-РУ*-У(П),3щ,300х300,ОС(RALБ/П),без ШПМ,без РУ,без врезок,Н(200),Н1(11),В1(290),эск;шт;1.0
Прочее;;Адаптер РЭД-КСД-И-ЛУК-РУ*-2щ-2000,ОС(RALБ/П),без ШПМ,без РУ,D(???),БВ(1),Н(200),Н1(11),В1(233);шт;1.0
Прочее;;Адаптер РЭД-КСД-И-ЛУК-РУ*-3щ-1000,ОС(RALБ/П),без ШПМ,без РУ,D(???),БВ(1),Н(200),Н1(11),В1(290);шт;1.0
Прочее;;Адаптер РЭД-КСД-И-ЛУК-РУ*-3щ-1200,ОС(RALБ/П),без ШПМ,без РУ,D(???),БВ(1),Н(200),Н1(11),В1(290);шт;1.0
Прочее;;Адаптер РЭД-КСД-И-ЛУК-РУ*-3щ-1430,ОС(RALБ/П),без ШПМ,без РУ,D(???),БВ(1),Н(200),Н1(11),В1(290);шт;1.0
Прочее;;Адаптер РЭД-КСД-И-ЛУК-РУ*-3щ-1500,ОС(RALБ/П),без ШПМ,без РУ,D(???),БВ(1),Н(200),Н1(11),В1(290);шт;1.0
Прочее;;Адаптер РЭД-КСД-И-ЛУК-РУ*-3щ-1600,ОС(RALБ/П),без ШПМ,без РУ,D(???),БВ(1),Н(200),Н1(11),В1(290);шт;1.0
Прочее;;Адаптер РЭД-КСД-И-ЛУК-РУ*-3щ-1800,ОС(RALБ/П),без ШПМ,без РУ,D(???),БВ(1),Н(200),Н1(11),В1(290);шт;1.0
Прочее;;Адаптер РЭД-КСД-И-ЛУК-РУ*-3щ-1850,ОС(RALБ/П),без ШПМ,без РУ,D(???),БВ(1),Н(200),Н1(11),В1(290);шт;1.0
Прочее;;Адаптер РЭД-КСД-И-ЛУК-РУ*-3щ-1900,ОС(RALБ/П),без ШПМ,без РУ,D(???),БВ(1),Н(200),Н1(11),В1(290);шт;1.0
Прочее;;Адаптер РЭД-КСД-И-ЛУК-РУ*-3щ-2050,ОС(RALБ/П),без ШПМ,без РУ,D(???),БВ(1),Н(200),Н1(11),В1(290);шт;1.0
Прочее;;Адаптер РЭД-КСД-И-ЛУК-РУ*-3щ-2200,ОС(RALБ/П),без ШПМ,без РУ,D(???),БВ(1),Н(200),Н1(11),В1(290);шт;1.0
Прочее;;Адаптер РЭД-КСД-И-ЛУК-РУ*-3щ-2600,ОС(RALБ/П),без ШПМ,без РУ,D(???),БВ(1),Н(200),Н1(11),В1(290);шт;1.0
Прочее;;Ремонтный раствор;мп;1.1
Прочее;;Поворот 90град 50х200;шт;1.0
Прочее;;Разветвитель Т-образный 50х200;шт;1.0
Прочее;;Поворот 90град;шт;1.0
Прочее;;Разветвитель Т-образный АО;шт;1.0
Прочее;;Метизы;компл;1.0
Прочее;;Заказное изделие согласно спецификации;шт;1.0
Прочее;;"Исполнитель: ООО ""Сервис Бро""";;
Прочее;;ФИО ________________________________ /Мальцев И.С./;;
Штукатурка и шпаклёвка;;Шпаклевка гипсовая Pufas Full-Finish Spachtel 20 кг;кг;"0.4;1.0;1.5"
Штукатурка и шпаклёвка;;Шпаклёвка универсальная Sheetrock;л;1.0
Штукатурка и шпаклёвка;Knauf;Шпатлевка финишная Knauf Ротбанд паста Профи 18 кг;кг;0.48
Штукатурка и шпаклёвка;Knauf;Штукатурка гипсовая Knauf Ротбанд;кг;17.0
Штукатурка и шпаклёвка;Волма;Штукатурка цементная Волма Акваслой легкая 25 кг;кг;12.5
Штукатурка и шпаклёвка;;Штукатурка декоративная;кг;1.2
Штукатурка и шпаклёвка;;Штукатурка декоративная уточняется;кг;1.6
Электрика;;Коробка установочная;шт;1.0
Электрика;;Огнезащитное покрытие МПВО;кг;"0.18;1.8"
Электрика;;Кабель витая пара UTP 4PR 24AWG cat.5e CU нг(А)-HF;мп;1.02
Электрика;;Выключатель встраиваемый одноклавишный 230В IP20-23;шт;1.0
Электрика;;Прожекторы, распаячные коробки, розетки, клеммники;компл;1.0
Электрика;;Розетка RJ45 одинарная на два разъема скрытой установки IP20-23;шт;1.0
Электрика;;Рамка для розеток и выключателей универсальная на 1 пост;шт;1.0
Электрика;;Рамка для розеток и выключателей универсальная на 2 поста;шт;1.0
Электрика;;Шинопровод (поставка Заказчика);мп;1.0
Электрика;;Розетка одинарная встраиваемая 230В IP20-23;шт;1.0
Электрика;;Рамка для розеток и выключателей универсальная на 4 поста;шт;1.0
Электрика;;Рамка для розеток и выключателей универсальная на 5 постов;шт;1.0
Электрика;;Выключатель встраиваемый двухклавишный 230В IP20-23;шт;1.0
Электрика;;Теплоизоляция для трубопроводов б=13 мм 25x13 ST K-FLEX;мп;"1.05;1.1"
Электрика;;Труба гофрированная ПЛЛ 20 мм;мп;1.02
Электрика;;Лоток перфорированный 50x50х3000;шт;1.0
Электрика;;Акустический кабель КА215 на(А)-HF 2х1,5мм2;мп;"1.0;1.02"
Электрика;;Коробка уравнивания потенциалов 8 вводов;шт;1.0
Электрика;;Распределительная коробка открытой установки квадратная IP20-23;шт;1.0
Электрика;;Распределительная коробка открытой установки квадратная огнестойкая;шт;1.0
Электрика;;Рамка для розеток и выключателей универсальная на 3 поста;шт;1.0
Электрика;;Витая пара CSP-UTP-LSZH-4-CU;мп;"1.0;1.02"
Электрика;;Лоток перфорированный 50x200х3000;шт;1.0
Электрика;;Грязезащитная решетка (резина+скребок);м2;1.0
Электрика;;Кабель акустический 2х0,5 красно-черный;мп;1.02
Электрика;;Теплоизоляция для трубопроводов б=13 мм 40x13 ST K-FLEX;мп;"1.05;1.1"
Электрика;;Крепления воздуховодов, трубопроводов, оборудования масса металла;кг;1.0
Электрика;;Розетка RJ45 одинарная на один разъем скрытой установки IP20-23;шт;1.0
Электрика;;Лоток перфорированный 50x100х3000;шт;1.0
Электрика;;Диффузор универсальный круглый ДПУ-М 100 Арктос;шт;1.0
Электрика;;Теплоизоляция для трубопроводов б=6 мм 32x6 ST K-FLEX;мп;1.1
Электрика;;Щит распределительный накладной ЩРн-60 ИЕК;шт;1.0
Электрика;;Прожекторы на шинопровод (поставка Заказчика);шт;1.0
Электрика;;Светильник для потолка Армстронг (поставка Заказчика);шт;1.0
Электрика;;Светильник аварийный с блоком автономного питания 4 часа;шт;1.0
Электрика;;Труба гофрированная ППЛ 20 мм;мп;1.02
Электрика;;Лоток перфорированный для силовых линий 50x100х3000;шт;1.0
Электрика;;Светильник аварийный светодиодный MIZAR SP 3.2вт LED 3ч постоянный (4502001210) E-12 MIZAR 4023-4 Led SР Световые технологии;шт;1.0
Электрика;;"Светильник эвакуационный ""Выход прямо"" (ГОСТ 12.2.143-2009), в.р. не менее 3 часов";шт;1.0
Электрика;;Коробка распаечная для открытой проводки. Материал: пластмасса серого цвета. Намечено 8 отв. диам.19 мм. Комплектуется крышкой.;шт;1.0
Электрика;;Монтажная пластина для крепления распределительной коробки на лоток;шт;1.0
Электрика;;Светильник встраиваемый (поставка Заказчика);шт;1.0
Электрика;;Воздуховод гибкий гофрированный ø160 SONODUCT Арктос;мп;"1.0;1.05"
Электрика;;Щит металлический в сборе по спецификации;шт;1.0
Электрика;;Светильник (поставка заказчика);шт;1.0
Электрика;;Автоматический выключатель 1п.C16A, Io.c=6кА S201 АВВ;шт;1.0
Электрика;Danfoss;Автоматический воздухоотводчик Airvent Ду15 (Danfoss);шт;"1.0;3.0"
Электрика;;Воздуховод гибкий гофрированный ø100 SONODUCT Арктос;мп;"1.0;1.05"
Электрика;;Пластиковый диффузор ДПУ-М 100 Арктос;шт;1.0
Электрика;;"Фитинг аксиальный универсальный – водорозетка надвижная 16 (2,2) мм х 1/2""";шт;1.0
Электрика;;Аварийный светильник;шт;1.0
Электрика;;Трековый светильник Фокус / Focus Led Flarity 3000K 12Вт 50° (поставка Заказчика);шт;1.0
Электрика;;Светильник (поставка Заказчика);шт;1.0
Электрика;Legrand;Legrand розетка в пол, встраиваемый розеточный блок;шт;1.0
Электрика;;Рамка для двойной розетки Werkel Рамки и металла Shine Werkel;шт;1.0
Электрика;;Розетка с заземлением и шторками Werkel Серебро W1171106;шт;1.0
Электрика;;Розетка Eight врезная в столешницу;шт;1.0
Электрика;;Выключатель;шт;1.0
Электрика;;Кабель видеонаблюдения КВК 2х0,75мм;мп;1.02
Электрика;;Воск защитный L'impression Cire Protect для известковых декоративных покрытий бесцветный 1 л;кг;0.1
Электрика;;Воздуховод гибкий гофрированный ø100 SONODUCT;мп;1.1
Электрика;;Воздуховод гибкий гофрированный ø160 SONODUCT;мп;1.1
Электрика;;Пластиковый диффузор ДПУ-М 100;шт;1.0
Электрика;;Пластиковый диффузор ДПУ-М 125;шт;1.0
Электрика;;Пластиковый диффузор ДПУ-М 160 мм;шт;1.0
Электрика;;Пластиковый диффузор ДПУ-М 200 мм;шт;1.0
Электрика;;Пластиковый диффузор ДПУ-М 250;шт;1.0
Электрика;Valtec;"Фитинг аксиальный универсальный – водорозетка надвижная 16 (2,2) мм х 1/2"" VALTEC";шт;1.0
Электрика;;Щит согласно проекта ЭОМ;шт;1.0
Электрика;;Розетка одинарная встраиваемая 230В со шторкой IP44-66;шт;1.0
Электрика;;Розетка силовая 400В, 32А;шт;1.0
Электрика;;Розетка одинарная накладная 230В IP20-23;шт;1.0
Электрика;;Розетка четверная накладная 230В IP20-23;шт;1.0
Электрика;;Установочная коробка (подрозетк);шт;1.0
Электрика;;Гофр.тр HF Д20 с протяжкой;мп;1.02
Электрика;;Гофр.тр HF Д32 с протяжкой;мп;1.02
Электрика;;Лоток перфорированный для 50x50х3000;шт;1.0
Электрика;;Светильник аварийный непост.действ. с БАП 4ч.;шт;1.0
Электрика;;Led панель Armstrong (поставка Заказчика);шт;1.0
Электрика;;Светильник линейный светодиодный Volpe ULO-Q141 18 ВТ (поставка Заказчика);шт;1.0
Электрика;;Светильник линейный светодиодный Volpe ULO-Q141 36 ВТ (поставка Заказчика);шт;1.0
Электрика;;Трековый светильник (поставка Заказчика);шт;1.0
Электрика;;Светодиодный светильник влагостойкий (поставка Заказчика);шт;1.0
Электрика;;Кабель ППГнг(А)-FRHF 3х1,5;мп;1.02
